Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Gender_Female,Gender_Male,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
1,45,1,0.0,0,1.0,3,0,1,0,0,0,0,0,0,0,1,0,0
1,53,1,0.0,0,1.0,3,3,1,0,0,1,0,0,0,0,0,0,0
0,26,1,9.0,0,1.0,2,0,0,1,0,0,0,1,0,0,0,0,0
1,43,1,1.0,0,3.0,3,3,0,1,0,0,0,0,0,1,0,0,0
0,42,1,8.0,0,1.0,6,0,0,1,1,0,0,0,0,0,0,0,0
0,42,1,1.0,0,1.0,6,3,1,0,1,0,0,0,0,0,0,0,0
1,73,0,1.0,0,2.0,6,3,1,0,0,0,0,0,0,0,0,1,0
1,84,1,1.0,2,2.0,6,3,1,0,0,0,0,0,0,0,0,1,0
0,86,1,0.0,0,1.0,3,3,1,0,0,0,0,0,0,0,0,1,0
1,46,1,11.0,0,1.0,3,0,0,1,0,0,0,0,0,0,1,0,0
1,48,1,3.0,0,1.0,6,1,0,1,1,0,0,0,0,0,0,0,0
0,26,1,0.0,0,3.0,4,2,0,1,0,1,0,0,0,0,0,0,0
1,43,1,4.0,1,4.0,3,1,0,1,0,1,0,0,0,0,0,0,0
1,39,1,0.0,0,3.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,58,0,0.0,1,2.0,6,3,0,1,1,0,0,0,0,0,0,0,0
0,28,1,1.0,0,2.0,6,1,0,1,0,0,0,1,0,0,0,0,0
0,26,0,0.0,0,4.0,6,3,0,1,0,0,0,0,0,1,0,0,0
0,36,1,1.0,0,4.0,2,2,1,0,1,0,0,0,0,0,0,0,0
1,36,1,3.0,0,1.0,6,1,1,0,0,0,1,0,0,0,0,0,0
0,36,1,13.0,0,1.0,6,0,0,1,0,0,0,1,0,0,0,0,0
1,61,0,1.0,1,3.0,6,1,0,1,0,0,0,0,1,0,0,0,0
0,19,0,1.0,0,3.0,2,0,0,1,0,0,0,0,0,1,0,0,0
1,86,1,0.0,0,1.0,6,1,0,1,0,0,0,0,0,0,0,1,0
1,85,1,0.0,2,2.0,6,3,0,1,0,0,0,0,1,0,0,0,0
1,65,1,1.0,2,2.0,6,1,0,1,0,0,0,0,1,0,0,0,0
1,43,1,6.0,1,2.0,6,1,1,0,0,0,0,0,0,1,0,0,0
1,59,1,0.0,0,1.0,3,0,0,1,1,0,0,0,0,0,0,0,0
0,26,0,1.0,0,6.0,6,0,1,0,0,0,1,0,0,0,0,0,0
0,20,0,1.0,0,3.0,3,0,0,1,0,0,0,0,0,1,0,0,0
1,37,1,1.0,1,2.0,1,3,0,1,0,1,0,0,0,0,0,0,0
1,71,1,1.0,0,2.0,6,1,0,1,1,0,0,0,0,0,0,0,0
1,68,0,0.0,0,1.0,4,0,1,0,0,0,1,0,0,0,0,0,0
1,49,1,7.0,0,2.0,6,2,1,0,1,0,0,0,0,0,0,0,0
0,22,0,6.0,0,3.0,3,2,1,0,0,0,0,0,0,1,0,0,0
1,59,0,11.0,2,2.0,6,1,0,1,0,0,0,0,1,0,0,0,0
1,28,0,0.0,1,5.0,4,0,0,1,0,0,0,0,0,1,0,0,0
1,35,1,1.0,2,4.0,6,0,0,1,0,0,0,0,1,0,0,0,0
1,47,1,0.0,2,5.0,4,2,0,1,0,1,0,0,0,0,0,0,0
1,75,1,1.0,2,3.0,6,3,0,1,0,0,0,0,1,0,0,0,0
0,21,0,1.0,0,3.0,4,1,0,1,0,0,0,0,0,0,0,0,1
0,26,1,0.0,0,2.0,3,1,1,0,0,0,0,0,0,1,0,0,0
0,46,0,3.0,0,3.0,5,3,0,1,1,0,0,0,0,0,0,0,0
1,57,0,0.0,2,2.0,6,0,1,0,0,0,0,0,0,0,1,0,0
1,35,1,2.0,1,3.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,51,0,1.0,2,2.0,6,1,0,1,0,0,0,0,1,0,0,0,0
1,56,1,0.0,1,2.0,6,2,1,0,0,0,0,0,1,0,0,0,0
0,53,1,0.0,0,1.0,6,1,0,1,0,1,0,0,0,0,0,0,0
0,25,1,8.0,0,1.0,6,0,0,1,0,1,0,0,0,0,0,0,0
0,41,1,4.0,0,1.0,6,3,0,1,1,0,0,0,0,0,0,0,0
1,63,1,0.0,0,3.0,6,1,0,1,0,0,0,1,0,0,0,0,0
1,47,1,0.0,1,3.0,6,1,1,0,1,0,0,0,0,0,0,0,0
0,28,0,1.0,0,4.0,4,0,0,1,0,0,0,0,0,1,0,0,0
0,25,0,1.0,0,3.0,6,0,1,0,0,0,0,0,0,1,0,0,0
0,21,0,0.0,0,4.0,2,3,0,1,0,0,0,0,0,0,0,0,1
0,26,1,11.0,0,2.0,7,0,0,1,0,1,0,0,0,0,0,0,0
1,76,0,1.0,2,2.0,6,0,1,0,0,0,0,0,0,0,0,1,0
1,87,0,7.0,2,2.0,7,1,1,0,1,0,0,0,0,0,0,0,0
0,46,1,1.0,0,1.0,6,3,1,0,1,0,0,0,0,0,0,0,0
1,43,1,5.0,1,2.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,85,0,2.0,1,2.0,6,2,1,0,0,0,0,1,0,0,0,0,0
1,41,0,8.0,1,4.0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,41,1,9.0,0,1.0,6,3,1,0,0,0,0,0,0,1,0,0,0
0,18,0,0.0,0,4.0,6,3,1,0,0,0,0,0,0,1,0,0,0
0,18,0,2.0,0,5.0,6,3,0,1,0,0,0,0,0,1,0,0,0
1,84,1,1.0,2,2.0,6,1,0,1,0,0,0,0,0,0,0,1,0
1,42,1,6.0,0,2.0,6,1,1,0,0,0,0,1,0,0,0,0,0
1,62,1,4.0,0,1.0,5,0,1,0,0,0,0,0,0,0,1,0,0
1,69,1,1.0,1,3.0,6,0,1,0,1,0,0,0,0,0,0,0,0
1,73,0,0.0,2,2.0,6,3,0,1,0,0,0,0,1,0,0,0,0
1,36,0,8.0,0,2.0,6,0,1,0,0,0,0,0,0,0,0,0,1
1,37,1,1.0,1,2.0,4,3,0,1,0,0,1,0,0,0,0,0,0
1,68,1,5.0,2,2.0,6,0,0,1,1,0,0,0,0,0,0,0,0
0,28,1,0.0,0,3.0,3,2,0,1,0,0,1,0,0,0,0,0,0
1,27,1,9.0,2,2.0,6,1,1,0,0,0,0,0,1,0,0,0,0
1,74,0,0.0,2,2.0,6,1,0,1,0,0,0,0,1,0,0,0,0
0,29,0,0.0,0,2.0,6,0,1,0,0,1,0,0,0,0,0,0,0
1,69,1,1.0,0,1.0,6,1,1,0,1,0,0,0,0,0,0,0,0
0,29,0,0.0,0,1.0,6,3,1,0,0,0,1,0,0,0,0,0,0
0,20,0,3.0,0,6.0,3,3,1,0,0,0,0,0,0,0,0,0,1
1,62,1,0.0,1,4.0,6,3,0,1,0,1,0,0,0,0,0,0,0
0,22,0,1.0,0,4.0,6,3,0,1,0,0,0,1,0,0,0,0,0
1,38,1,1.0,0,2.0,6,0,0,1,1,0,0,0,0,0,0,0,0
0,33,1,4.0,0,8.0,5,3,1,0,0,0,0,0,0,1,0,0,0
1,29,1,8.0,2,2.0,6,2,0,1,0,0,0,0,0,1,0,0,0
1,59,1,6.0,0,1.0,6,1,1,0,0,0,0,0,0,0,1,0,0
0,39,1,0.0,0,1.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,66,0,0.0,1,2.0,6,2,0,1,0,0,0,0,1,0,0,0,0
1,73,1,0.0,0,2.0,6,2,1,0,0,0,1,0,0,0,0,0,0
1,35,1,9.0,2,3.0,6,1,1,0,0,0,0,0,0,1,0,0,0
1,37,1,1.0,1,4.0,6,3,0,1,1,0,0,0,0,0,0,0,0
1,32,0,0.0,1,4.0,6,3,0,1,0,0,0,0,0,1,0,0,0
1,57,1,3.0,1,2.0,6,1,0,1,1,0,0,0,0,0,0,0,0
1,73,1,0.0,2,2.0,6,1,1,0,1,0,0,0,0,0,0,0,0
1,41,1,1.0,1,2.0,3,0,1,0,0,0,0,0,0,1,0,0,0
0,39,1,1.0,0,2.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,58,1,1.0,1,5.0,6,0,0,1,0,0,0,0,1,0,0,0,0
1,62,1,1.0,0,1.0,3,1,1,0,0,0,1,0,0,0,0,0,0
0,18,0,0.0,0,3.0,3,1,0,1,0,0,0,0,0,1,0,0,0
0,30,0,1.0,0,3.0,4,3,1,0,0,0,0,0,0,1,0,0,0
1,51,0,9.0,2,2.0,4,0,1,0,1,0,0,0,0,0,0,0,0
1,20,0,1.0,0,2.0,4,0,1,0,0,0,1,0,0,0,0,0,0
1,71,1,2.0,0,6.0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,26,0,8.0,1,2.0,6,3,0,1,0,1,0,0,0,0,0,0,0
0,35,1,5.0,0,1.0,6,0,0,1,0,1,0,0,0,0,0,0,0
1,47,1,7.0,1,2.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,45,1,8.0,1,3.0,4,1,0,1,0,1,0,0,0,0,0,0,0
0,20,0,3.0,0,4.0,2,0,0,1,0,0,0,0,0,1,0,0,0
0,33,1,0.0,0,1.0,7,0,1,0,0,0,0,1,0,0,0,0,0
1,35,1,1.0,1,2.0,2,1,0,1,0,0,0,1,0,0,0,0,0
1,87,0,0.0,2,2.0,6,0,1,0,0,0,0,0,0,0,0,1,0
1,83,1,0.0,2,2.0,2,0,0,1,0,0,0,0,1,0,0,0,0
1,56,1,0.0,0,3.0,6,0,0,1,0,0,0,0,0,0,0,0,1
1,26,0,3.0,0,2.0,4,0,0,1,0,0,0,1,0,0,0,0,0
0,35,1,0.0,0,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0
0,25,0,1.0,0,1.0,6,3,0,1,0,1,0,0,0,0,0,0,0
1,38,0,0.0,0,3.0,6,2,1,0,1,0,0,0,0,0,0,0,0
0,25,1,1.0,0,3.0,6,2,0,1,0,0,0,0,0,1,0,0,0
1,43,0,0.0,1,4.0,6,0,1,0,0,0,1,0,0,0,0,0,0
1,45,1,2.0,2,2.0,4,0,1,0,0,0,1,0,0,0,0,0,0
1,50,1,0.0,2,5.0,6,0,0,1,0,0,0,0,1,0,0,0,0
0,36,0,0.0,0,5.0,3,0,0,1,0,0,0,0,1,0,0,0,0
0,43,1,9.0,0,4.0,6,2,1,0,1,0,0,0,0,0,0,0,0
1,60,1,1.0,0,2.0,6,2,0,1,0,0,0,1,0,0,0,0,0
1,62,1,1.0,2,5.0,6,1,0,1,0,0,0,0,0,0,0,0,1
1,67,1,0.0,1,3.0,6,0,1,0,1,0,0,0,0,0,0,0,0
0,29,1,0.0,0,4.0,4,1,1,0,0,0,0,0,0,1,0,0,0
1,41,1,9.0,1,3.0,3,0,1,0,0,0,1,0,0,0,0,0,0
0,49,1,0.0,0,1.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,83,1,0.0,2,2.0,6,2,1,0,0,0,0,0,0,0,0,1,0
0,27,0,1.0,0,1.0,3,3,1,0,0,0,1,0,0,0,0,0,0
0,36,1,5.0,0,1.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,36,1,4.0,1,2.0,7,1,0,1,1,0,0,0,0,0,0,0,0
1,85,0,0.0,0,1.0,6,0,1,0,0,0,0,0,0,0,0,1,0
1,31,0,2.0,0,3.0,6,3,0,1,0,0,0,0,0,0,0,0,1
1,46,1,0.0,2,5.0,3,2,1,0,0,0,1,0,0,0,0,0,0
1,47,1,1.0,1,3.0,6,3,1,0,1,0,0,0,0,0,0,0,0
1,65,1,1.0,1,3.0,6,3,0,1,1,0,0,0,0,0,0,0,0
0,30,1,3.0,0,4.0,6,0,0,1,0,0,0,0,0,1,0,0,0
1,52,0,0.0,1,3.0,6,0,0,1,1,0,0,0,0,0,0,0,0
0,26,1,1.0,0,1.0,4,3,0,1,1,0,0,0,0,0,0,0,0
0,25,0,9.0,0,2.0,3,3,0,1,0,0,1,0,0,0,0,0,0
1,47,1,0.0,1,2.0,6,3,0,1,1,0,0,0,0,0,0,0,0
0,29,0,9.0,0,8.0,4,0,1,0,0,0,1,0,0,0,0,0,0
1,84,0,1.0,2,2.0,6,3,1,0,0,0,0,0,0,0,0,1,0
1,50,0,0.0,2,3.0,4,2,1,0,0,0,0,0,0,0,0,0,1
0,30,0,1.0,0,2.0,4,3,0,1,0,1,0,0,0,0,0,0,0
1,60,1,0.0,1,2.0,6,3,1,0,0,1,0,0,0,0,0,0,0
1,37,0,0.0,1,6.0,4,0,0,1,1,0,0,0,0,0,0,0,0
1,75,0,0.0,0,1.0,4,1,1,0,0,0,0,0,0,0,0,1,0
1,42,0,0.0,2,5.0,4,0,0,1,0,0,0,0,1,0,0,0,0
1,69,0,0.0,2,2.0,4,0,1,0,0,0,0,0,0,0,0,1,0
0,31,1,1.0,0,6.0,4,0,1,0,1,0,0,0,0,0,0,0,0
1,36,1,4.0,0,2.0,6,3,1,0,1,0,0,0,0,0,0,0,0
0,19,0,0.0,0,3.0,6,2,0,1,0,0,0,0,0,1,0,0,0
1,41,1,1.0,0,1.0,6,1,1,0,1,0,0,0,0,0,0,0,0
1,47,1,0.0,1,2.0,3,0,0,1,0,1,0,0,0,0,0,0,0
0,30,0,0.0,0,4.0,4,3,1,0,0,0,0,0,0,1,0,0,0
0,28,0,2.0,0,4.0,6,0,1,0,0,1,0,0,0,0,0,0,0
1,81,0,0.0,0,1.0,6,0,0,1,0,0,0,0,0,0,0,1,0
0,19,0,1.0,0,4.0,6,3,0,1,0,0,0,0,0,1,0,0,0
0,31,0,0.0,0,3.0,6,2,1,0,0,1,0,0,0,0,0,0,0
1,48,1,8.0,2,4.0,6,2,1,0,1,0,0,0,0,0,0,0,0
1,71,0,0.0,2,2.0,4,1,1,0,0,0,0,0,0,0,0,0,1
1,43,1,3.0,0,2.0,4,3,0,1,0,0,0,1,0,0,0,0,0
0,18,0,3.0,0,3.0,2,2,0,1,0,0,0,0,0,1,0,0,0
0,46,1,0.0,0,1.0,6,2,1,0,0,0,0,1,0,0,0,0,0
0,43,1,0.0,0,1.0,4,2,0,1,0,0,0,0,0,0,0,1,0
0,29,0,9.0,0,4.0,3,0,0,1,0,0,0,0,0,1,0,0,0
1,46,0,0.0,1,3.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,45,1,4.0,2,5.0,6,0,0,1,0,0,0,0,1,0,0,0,0
1,59,1,9.0,1,3.0,6,1,0,1,0,0,0,0,0,0,1,0,0
1,42,1,0.0,1,4.0,4,0,0,1,1,0,0,0,0,0,0,0,0
0,19,0,0.0,0,4.0,2,3,1,0,0,0,0,0,0,1,0,0,0
0,27,1,6.0,0,5.0,2,2,0,1,0,0,0,0,0,1,0,0,0
0,32,0,1.0,0,3.0,6,2,1,0,0,0,0,0,0,1,0,0,0
1,38,1,9.0,0,3.0,6,3,1,0,0,0,0,0,0,0,0,0,1
0,32,1,9.0,0,5.0,6,3,1,0,1,0,0,0,0,0,0,0,0
0,49,1,0.0,0,5.0,6,3,1,0,0,0,0,0,0,0,0,0,1
1,83,0,1.0,2,2.0,6,2,0,1,0,0,0,0,0,0,0,1,0
1,62,1,9.0,0,1.0,6,2,0,1,0,0,0,1,0,0,0,0,0
0,30,1,8.0,0,2.0,6,3,1,0,1,0,0,0,0,0,0,0,0
1,70,1,1.0,0,1.0,6,0,0,1,0,0,0,0,0,0,0,1,0
0,31,0,1.0,0,5.0,4,3,0,1,0,0,0,0,0,1,0,0,0
1,69,0,1.0,1,2.0,6,3,0,1,0,0,0,0,0,0,0,1,0
0,19,0,5.0,0,5.0,2,0,0,1,0,0,0,0,0,1,0,0,0
0,25,0,0.0,0,2.0,6,1,1,0,0,1,0,0,0,0,0,0,0
1,50,1,1.0,1,3.0,6,3,0,1,1,0,0,0,0,0,0,0,0
1,40,1,5.0,1,5.0,6,0,0,1,0,0,0,1,0,0,0,0,0
0,27,0,1.0,0,5.0,2,1,1,0,0,0,0,0,0,1,0,0,0
0,48,1,0.0,0,1.0,6,0,1,0,0,1,0,0,0,0,0,0,0
0,27,1,1.0,0,4.0,6,3,1,0,0,0,0,0,0,1,0,0,0
0,51,1,1.0,0,2.0,6,2,0,1,1,0,0,0,0,0,0,0,0
0,18,0,0.0,0,3.0,4,1,1,0,0,0,0,0,0,1,0,0,0
0,36,1,14.0,0,2.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,35,1,5.0,1,2.0,6,3,0,1,1,0,0,0,0,0,0,0,0
1,77,1,0.0,2,2.0,4,2,0,1,0,0,0,0,0,0,0,1,0
0,63,1,0.0,0,2.0,6,1,0,1,1,0,0,0,0,0,0,0,0
1,84,1,0.0,0,2.0,6,0,0,1,0,0,0,0,0,0,0,1,0
1,36,1,2.0,1,2.0,6,0,1,0,1,0,0,0,0,0,0,0,0
1,59,1,1.0,2,2.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,88,1,1.0,2,2.0,6,0,1,0,0,0,0,0,0,0,0,1,0
1,28,1,0.0,1,2.0,6,3,0,1,0,0,0,1,0,0,0,0,0
1,51,1,0.0,1,2.0,6,2,1,0,1,0,0,0,0,0,0,0,0
1,32,0,9.0,0,4.0,6,0,1,0,0,0,1,0,0,0,0,0,0
1,43,1,4.0,1,2.0,6,3,0,1,1,0,0,0,0,0,0,0,0
1,27,0,0.0,1,2.0,6,3,0,1,0,0,1,0,0,0,0,0,0
1,46,1,0.0,2,2.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,36,1,5.0,0,1.0,6,3,1,0,0,0,0,0,0,0,0,0,1
1,47,1,1.0,1,3.0,6,3,0,1,1,0,0,0,0,0,0,0,0
0,18,0,5.0,0,4.0,6,1,0,1,0,0,0,0,0,1,0,0,0
1,46,1,7.0,0,3.0,6,2,1,0,0,0,0,1,0,0,0,0,0
1,57,0,1.0,1,2.0,6,0,0,1,0,0,1,0,0,0,0,0,0
0,51,0,0.0,0,1.0,4,2,1,0,0,0,0,1,0,0,0,0,0
1,77,1,1.0,2,2.0,6,3,1,0,0,0,0,0,0,0,0,1,0
1,37,1,0.0,1,2.0,4,1,1,0,1,0,0,0,0,0,0,0,0
1,61,0,0.0,0,1.0,7,0,0,1,1,0,0,0,0,0,0,0,0
1,56,1,0.0,2,2.0,6,1,0,1,1,0,0,0,0,0,0,0,0
0,71,1,0.0,0,1.0,6,1,1,0,0,1,0,0,0,0,0,0,0
1,40,1,1.0,2,4.0,6,0,0,1,0,0,0,0,1,0,0,0,0
0,32,1,1.0,0,3.0,4,3,0,1,1,0,0,0,0,0,0,0,0
0,38,1,9.0,0,4.0,6,2,1,0,1,0,0,0,0,0,0,0,0
1,42,1,7.0,0,6.0,4,1,0,1,0,0,0,1,0,0,0,0,0
1,52,1,1.0,1,5.0,2,3,1,0,1,0,0,0,0,0,0,0,0
1,30,1,1.0,0,2.0,6,0,0,1,0,0,0,0,0,1,0,0,0
0,41,1,9.0,0,3.0,6,1,0,1,1,0,0,0,0,0,0,0,0
0,36,1,0.0,0,2.0,6,1,1,0,1,0,0,0,0,0,0,0,0
1,39,1,0.0,0,2.0,4,1,1,0,1,0,0,0,0,0,0,0,0
0,51,1,9.0,0,1.0,6,3,1,0,0,0,0,0,0,0,0,0,1
1,58,1,1.0,0,4.0,6,2,1,0,0,0,0,0,0,0,1,0,0
1,63,1,5.0,2,2.0,6,1,0,1,0,0,0,0,0,0,0,1,0
0,43,1,9.0,0,1.0,6,0,1,0,1,0,0,0,0,0,0,0,0
1,89,1,0.0,0,2.0,6,3,0,1,0,0,0,0,0,0,0,1,0
0,26,0,1.0,0,2.0,6,3,0,1,0,0,0,1,0,0,0,0,0
1,39,1,0.0,0,1.0,2,0,1,0,0,1,0,0,0,0,0,0,0
1,67,0,0.0,0,2.0,6,1,0,1,0,0,0,0,0,0,0,1,0
0,30,0,1.0,0,4.0,6,2,0,1,0,0,0,0,0,1,0,0,0
1,32,0,7.0,1,2.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,48,1,1.0,1,4.0,6,2,0,1,0,0,0,0,1,0,0,0,0
1,47,1,0.0,2,4.0,6,3,0,1,0,0,0,0,1,0,0,0,0
1,40,1,0.0,0,2.0,6,0,1,0,1,0,0,0,0,0,0,0,0
0,30,0,3.0,0,2.0,6,3,0,1,0,1,0,0,0,0,0,0,0
0,45,1,2.0,0,1.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,52,1,1.0,1,4.0,6,0,0,1,1,0,0,0,0,0,0,0,0
1,53,1,1.0,1,2.0,7,3,1,0,1,0,0,0,0,0,0,0,0
1,42,1,6.0,0,3.0,6,0,0,1,1,0,0,0,0,0,0,0,0
0,56,1,1.0,0,1.0,6,2,1,0,0,0,0,1,0,0,0,0,0
0,36,1,10.0,0,1.0,6,1,1,0,1,0,0,0,0,0,0,0,0
1,62,1,1.0,0,1.0,6,1,1,0,0,0,0,1,0,0,0,0,0
0,27,0,8.0,0,3.0,4,3,1,0,0,0,0,0,0,1,0,0,0
1,86,1,0.0,0,1.0,6,3,0,1,0,0,0,0,1,0,0,0,0
0,35,1,1.0,0,1.0,6,0,1,0,0,1,0,0,0,0,0,0,0
0,42,1,0.0,0,1.0,6,1,0,1,0,1,0,0,0,0,0,0,0
1,72,1,1.0,1,6.0,1,3,0,1,1,0,0,0,0,0,0,0,0
0,18,0,0.0,0,3.0,6,3,0,1,0,0,0,0,0,1,0,0,0
1,36,1,1.0,1,2.0,6,3,0,1,1,0,0,0,0,0,0,0,0
0,43,1,14.0,0,1.0,4,3,1,0,1,0,0,0,0,0,0,0,0
0,33,0,4.0,0,3.0,4,3,0,1,0,0,0,0,0,1,0,0,0
1,67,1,0.0,2,2.0,4,1,0,1,0,0,0,0,0,0,0,1,0
0,40,1,0.0,0,1.0,6,0,1,0,1,0,0,0,0,0,0,0,0
1,73,0,0.0,1,2.0,6,0,0,1,0,0,0,1,0,0,0,0,0
1,36,1,0.0,0,1.0,6,1,1,0,0,0,1,0,0,0,0,0,0
0,31,0,9.0,0,2.0,2,2,0,1,0,0,0,1,0,0,0,0,0
1,53,0,1.0,1,4.0,4,1,0,1,0,0,0,1,0,0,0,0,0
1,38,1,1.0,1,3.0,6,2,0,1,1,0,0,0,0,0,0,0,0
1,78,0,0.0,2,2.0,6,3,1,0,0,0,0,0,0,0,0,1,0
